GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Total Population Change [1]"
natinc4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Natural Increase"
births4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Vital Events - Births"
deaths4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Vital Events - Deaths"
netmig4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Net Migration - Total"
intlmig4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Net Migration - International [2]"
dommig4201072012,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2012 - Net Migration - Domestic"
popchg20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Total Population Change [1]"
natinc20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Natural Increase"
births20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Vital Events - Births"
deaths20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Vital Events - Deaths"
netmig20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Net Migration - Total"
intlmig20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Net Migration - International [2]"
dommig20112012,"Annual Estimates of the Components of Population Change - July 1, 2011 to July 1, 2012 - Net Migration - Domestic"
