GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Total Population Change [1]"
natinc4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Natural Increase"
births4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Vital Events - Births"
deaths4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Vital Events - Deaths"
netmig4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - Total"
intlmig4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - International [2]"
dommig4201072014,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - Domestic"
popchg20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Total Population Change [1]"
natinc20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Natural Increase"
births20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Vital Events - Births"
deaths20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Vital Events - Deaths"
netmig20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - Total"
intlmig20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - International [2]"
dommig20132014,"Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - Domestic"
