agency,county
Adelanto Police Dept,San Bernardino County
Agoura Hills,Los Angeles County
Alameda County Sheriff Department,Alameda County
Alameda Police Dept,Alameda County
Albany Police Dept,Alameda County
Alhambra Police Dept,Los Angeles County
Aliso Viejo,Orange County
American Canyon,Napa County
Anaheim Police Dept,Orange County
Anderson Police Dept,Shasta County
Antioch Police Dept,Contra Costa County
Apple Valley,San Bernardino County
Arcadia Police Dept,Los Angeles County 
Arcata Police Dept,Humboldt County
Arroyo Grande Police Dept,San Luis Obispo County
Artesia,Los Angeles County
Arvin Police Dept,Kern County
Atascadero Police Dept,San Luis Obispo County
Atwater Police Dept,Merced County
Auburn Police Dept,Placer County
Avenal,Kings County
Azusa Police Dept,Los Angeles County
Bakersfield Police Dept,Kern County
Baldwin Park Police Dept,Los Angeles County
Banning Police Dept,Riverside County
Barstow Police Dept,San Bernardino County
Beaumont Police Dept,Riverside County
Bell Police Dept,Los Angeles County
Bell Gardens Police Dept,Los Angeles County
Bellflower,Los Angeles County
Belmont Police Dept,San Mateo County
Benicia Police Dept,Solano County
Berkeley Police Dept,Alameda County
Beverly Hills Police Dept,Los Angeles County
Blythe Police Dept,Riverside County
Brawley Police Dept,Imperial County
Brea Police Dept,Orange County
Brentwood Police Dept,Contra Costa County
Buena Park Police Dept,Orange County
Burbank Police Dept,Los Angeles County
Burlingame Police Dept,San Mateo County
Butte County Sheriff Department,Butte County
Calabasas,Los Angeles County
Calaveras County Sheriff Department,Calaveras County
Calexico Police Dept,Imperial County
California City Police Dept,Kern County
Camarillo,Ventura County
Campbell Police Dept,Santa Clara County
Canyon Lake,Riverside County
Capitola Police Dept,Santa Cruz County
Carslbad Police Dept,San Diego County
Carpinteria,Santa Barbara County
Carson,Los Angeles County
Cathedral City Police Dept,Riverside County
Central Marin,Marin County
Ceres Dept Of Public Safety,Stanislaus County
Cerritos,Los Angeles County
Chico Police Dept,Butte County
Chino Police Dept,San Bernardino County
Chino Hills,San Bernardino County
Chowchilla Police Dept,Madera County
Chula Vista Police Dept,San Diego County
Claremont Police Dept,Los Angeles County
Clayton Police Dept,Contra Costa County
Clearlake Police Dept,Lake County 
Clovis Police Dept,Fresno County
Coachella Police Dept,Riverside County
Coalinga Police Dept,Fresno County
Colton Police Dept,San Bernardino County
Commerce,Los Angeles County
Compton Police Dept,Los Angeles County
Concord Police Dept,Contra Costa County
Contra Costa County Sheriff Department,Contra Costa County
Corcoran Police Dept,Kings County
Corona Police Dept,Riverside County
Coronado Police Dept,San Diego County
Costa Mesa Police Dept,Orange County
Covina Police Dept,Los Angeles County
Cudahy,Los Angeles County
Culver City Police Dept,Los Angeles County
Cupertino,Santa Clara County
Cypress Police Dept,Orange County
Daly City Police Dept,San Mateo County
Dana Point,Orange County
Danville,Contra Costa County
Davis Police Dept,Yolo County
Delano Police Dept,Kern County
Desert Hot Springs,Riverside County
Diamond Bar,Los Angeles County
Dinuba Police Dept,Tulare County
Dixon Police Dept,Solano County
Downey Police Dept,Los Angeles County
Duarte,Los Angeles County
Dublin,Alameda County
East Palo Alto Police Dept,San Mateo County
Eastvale,Riverside County
El Cajon Police Dept,San Diego County
El Centro Police Dept,Imperial County
El Cerrito Police Dept,Contra Costa County
El Dorado County Sheriff Department,El Dorado County
