State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
New Jersey,   8834773,      27203,         380,       1006,,      12209,      13608,     189719,      43238,     129066,      17415,         307.9,           4.3,          11.4,,         138.2,         154.0,       2147.4,         489.4,       1460.9,         197.1
New Mexico,   2078674,      11904,         158,         856,,       1720,       9170,      73549,      21419,      46730,       5400,         572.7,           7.6,          41.2,,          82.7,         441.1,       3538.3,       1030.4,       2248.1,         259.8
New York,  19501616,      77463,         769,       2751,,      28405,      45538,     371837,      65227,     287361,      19249,         397.2,           3.9,          14.1,,         145.7,         233.5,       1906.7,         334.5,       1473.5,          98.7
North Carolina,   9651103,      33421,         498,       1959,,       9448,      21516,     337806,     105534,     215453,      16819,         346.3,           5.2,          20.3,,          97.9,         222.9,       3500.2,       1093.5,       2232.4,         174.3
North Dakota,     684740,       1699,          24,         266,,          91,       1318,      13334,       2458,       9891,         985,         248.1,           3.5,          38.8,,          13.3,         192.5,       1947.3,         359.0,       1444.5,         143.9
Ohio,  11541007,      35218,         500,       3679,,      15991,      15048,     380572,     112901,     246744,      20927,         305.2,           4.3,          31.9,,         138.6,         130.4,       3297.6,         978.3,       2138.0,         181.3
Oklahoma,   3784163,      17311,         212,       1410,,       3288,      12401,     127618,      36462,      80064,      11092,         457.5,           5.6,          37.3,,          86.9,         327.7,       3372.4,         963.5,       2115.8,         293.1
Oregon,   3868229,       9643,          84,       1239,,       2237,       6083,     121869,      20704,      92059,       9106,         249.3,           2.2,          32.0,,          57.8,         157.3,       3150.5,         535.2,       2379.9,         235.4
Pennsylvania,  12743948,      46189,         639,       3339,,      16165,      26046,     283442,      57966,     208604,      16872,         362.4,           5.0,          26.2,,         126.8,         204.4,       2224.1,         454.9,       1636.9,         132.4
Rhode Island,   1050646,       2586,          20,         319,,         744,       1503,      27976,       6836,      18765,       2375,         246.1,           1.9,          30.4,,          70.8,         143.1,       2662.7,         650.6,       1786.0,         226.1
South Carolina,   4673348,      27894,         320,       1678,,       4631,      21265,     183243,      47351,     122255,      13637,         596.9,           6.8,          35.9,,          99.1,         455.0,       3921.0,       1013.2,       2616.0,         291.8
South Dakota,     823593,       2105,          20,         503,,         167,       1415,      15299,       2927,      11423,         949,         255.6,           2.4,          61.1,,          20.3,         171.8,       1857.6,         355.4,       1387.0,         115.2
Tennessee,   6399787,      38895,         380,       2095,,       8082,      28338,     230900,      62830,     153928,      14142,         607.8,           5.9,          32.7,,         126.3,         442.8,       3607.9,         981.8,       2405.2,         221.0
Texas,  25631778,     104734,       1130,       7486,,      28620,      67498,     892810,     215755,     613131,      63924,         408.6,           4.4,          29.2,,         111.7,         263.3,       3483.2,         841.7,       2392.1,         249.4
Utah,   2814347,       5547,          50,         901,,       1079,       3517,      84084,      13170,      64727,       6187,         197.1,           1.8,          32.0,,          38.3,         125.0,       2987.7,         468.0,       2299.9,         219.8
Vermont,     626592,         925,          11,         146,,          99,         669,      15086,       3838,      10720,         528,         147.6,           1.8,          23.3,,          15.8,         106.8,       2407.6,         612.5,       1710.8,          84.3
Virginia,   8104384,      16014,         304,       1591,,       5425,       8694,     182902,      30656,     142476,       9770,         197.6,           3.8,          19.6,,          66.9,         107.3,       2256.8,         378.3,       1758.0,         120.6
Washington,   6823267,      20152,         163,       2320,,       5627,      12042,     244209,      56561,     162828,      24820,         295.3,           2.4,          34.0,,          82.5,         176.5,       3579.1,         828.9,       2386.4,         363.8
West Virginia,   1854908,       5497,          87,         372,,         802,       4236,      39009,      10245,      26656,       2108,         296.3,           4.7,          20.1,,          43.2,         228.4,       2103.0,         552.3,       1437.1,         113.6
Wisconsin,   5709843,      14268,         138,       1190,,       4600,       8340,     139912,      27167,     104472,       8273,         249.9,           2.4,          20.8,,          80.6,         146.1,       2450.4,         475.8,       1829.7,         144.9
Wyoming,     567356,       1245,          18,         146,,          71,       1010,      12878,       1864,      10493,         521,         219.4,           3.2,          25.7,,          12.5,         178.0,       2269.8,         328.5,       1849.5,          91.8
United States-Total, 311587816,   1206031,      14661,      84175,,     354772,     752423,   9052743,   2185140,   6151095,     716508,         387.1,           4.7,          27.0,,         113.9,         241.5,       2905.4,         701.3,       1974.1,         230.0
