State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,US,United States,48452035,48217869,48686201,15.9,15.8,16,16386500,16262247,16510753,22.5,22.3,22.7,10976987,10882675,11071299,20.8,20.6,21,50502,50429,50575,5110087,5061357,5158817,25.8,25.6,26
01,AL,Alabama,896117,879174,913060,19.1,18.7,19.5,307310,298317,316303,27.6,26.8,28.4,209724,201714,217734,25.8,24.8,26.8,41427,40894,41960,94184,89925,98443,31.5,30.1,32.9
02,AK,Alaska,76021,72599,79443,10.8,10.3,11.3,27192,25130,29254,14.7,13.6,15.8,17857,16000,19714,13.6,12.2,15,65699,64147,67251,8473,7472,9474,15.8,13.9,17.7
04,AZ,Arizona,1201376,1176529,1226223,19,18.6,19.4,434571,420527,448615,27.2,26.3,28.1,294963,282593,307333,25.7,24.6,26.8,46710,46173,47247,132554,125574,139534,29.9,28.3,31.5
05,AR,Arkansas,550079,538191,561967,19.3,18.9,19.7,194242,187760,200724,27.8,26.9,28.7,128194,122698,133690,25.5,24.4,26.6,38889,38167,39611,62668,59124,66212,32.6,30.8,34.4
06,CA,California,6121726,6065691,6177761,16.6,16.4,16.8,2085226,2055547,2114905,22.8,22.5,23.1,1431148,1404413,1457883,21.7,21.3,22.1,57275,56997,57553,614837,601173,628501,24.7,24.2,25.2
08,CO,Colorado,669267,654300,684234,13.4,13.1,13.7,215325,206577,224073,17.7,17,18.4,138632,131086,146178,15.9,15,16.8,55530,54944,56116,71015,66713,75317,21.1,19.8,22.4
09,CT,Connecticut,373284,361432,385136,10.8,10.5,11.1,115699,109366,122032,14.6,13.8,15.4,79802,74061,85543,13.3,12.3,14.3,65822,65021,66623,33766,30910,36622,17.4,15.9,18.9
10,DE,Delaware,111176,106446,115906,12.6,12.1,13.1,37941,35584,40298,18.8,17.6,20,24830,22751,26909,17.1,15.7,18.5,58159,56859,59459,11975,10791,13159,21.9,19.7,24.1
11,DC,District of Columbia,111906,106789,117023,19.1,18.2,20,32297,29355,35239,30.9,28.1,33.7,20884,18204,23564,30.5,26.6,34.4,62087,60432,63742,10976,9896,12056,30.6,27.6,33.6
