State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
12,FL,Florida,3178155,3138992,3217318,17,16.8,17.2,985615,964099,1007131,25.1,24.6,25.6,670753,653062,688444,23.5,22.9,24.1,44250,43850,44650,299201,287545,310857,28.3,27.2,29.4
13,GA,Georgia,1836715,1806754,1866676,19.2,18.9,19.5,651999,635149,668849,26.6,25.9,27.3,440361,426024,454698,24.8,24,25.6,45886,45438,46334,202963,194063,211863,30.3,29,31.6
15,HI,Hawaii,161606,154618,168594,12.1,11.6,12.6,50172,46733,53611,16.8,15.7,17.9,33653,30731,36575,15.9,14.5,17.3,62071,61102,63040,15204,13295,17113,17.5,15.3,19.7
16,ID,Idaho,256257,248124,264390,16.5,16,17,89007,84616,93398,21.3,20.2,22.4,57242,53399,61085,19.2,17.9,20.5,43345,42213,44477,29351,27053,31649,25.4,23.4,27.4
17,IL,Illinois,1871484,1845497,1897471,14.9,14.7,15.1,651430,636157,666703,21.3,20.8,21.8,443273,430016,456530,19.9,19.3,20.5,53271,52773,53769,198619,191172,206066,24.5,23.6,25.4
18,IN,Indiana,1001053,983059,1019047,15.8,15.5,16.1,353510,341921,365099,22.6,21.9,23.3,233507,223596,243418,20.6,19.7,21.5,46410,45964,46856,111020,105328,116712,26.5,25.1,27.9
19,IA,Iowa,376300,367232,385368,12.7,12.4,13,121250,115876,126624,17.1,16.3,17.9,78963,74168,83758,15.4,14.5,16.3,49545,48882,50208,39198,36602,41794,20,18.7,21.3
20,KS,Kansas,383859,373991,393727,13.8,13.4,14.2,133478,128023,138933,18.8,18,19.6,82311,77941,86681,16.2,15.3,17.1,48844,48127,49561,47727,44420,51034,24,22.3,25.7
21,KY,Kentucky,809764,794106,825422,19.1,18.7,19.5,272115,263587,280643,27.2,26.3,28.1,179847,172495,187199,25,24,26,41141,40687,41595,86781,82189,91373,31.5,29.8,33.2
22,LA,Louisiana,910266,894522,926010,20.5,20.1,20.9,317946,309922,325970,28.8,28.1,29.5,214049,206892,221206,27.2,26.3,28.1,41804,41290,42318,100423,96516,104330,32.3,31,33.6
23,ME,Maine,183723,177833,189613,14.2,13.7,14.7,50579,47921,53237,19.3,18.3,20.3,32849,30527,35171,16.9,15.7,18.1,46160,45405,46915,15848,14438,17258,24.2,22,26.4
24,MD,Maryland,581244,566339,596149,10.2,9.9,10.5,184238,175429,193047,13.9,13.2,14.6,122071,114406,129736,12.7,11.9,13.5,70075,69315,70835,57130,52791,61469,16,14.8,17.2
25,MA,Massachusetts,740512,724241,756783,11.6,11.3,11.9,212987,204227,221747,15.3,14.7,15.9,144447,136622,152272,14.1,13.3,14.9,63126,62285,63967,63301,59085,67517,17.5,16.3,18.7
26,MI,Michigan,1687624,1667162,1708086,17.5,17.3,17.7,556687,543265,570109,24.6,24,25.2,374393,362401,386385,22.4,21.7,23.1,45931,45603,46259,170780,165038,176522,29.9,28.9,30.9
27,MN,Minnesota,617185,603742,630628,11.8,11.5,12.1,192156,184615,199697,15.3,14.7,15.9,123399,117158,129640,13.6,12.9,14.3,56944,56467,57421,63180,59041,67319,18.2,17,19.4
28,MS,Mississippi,658232,644769,671695,22.8,22.3,23.3,239159,232199,246119,32.4,31.5,33.3,161086,155039,167133,30.4,29.3,31.5,36963,36399,37527,74943,71275,78611,36.5,34.7,38.3
29,MO,Missouri,922103,906489,937717,15.8,15.5,16.1,308390,298535,318245,22.3,21.6,23,201231,192612,209850,20.1,19.2,21,45231,44718,45744,99378,94455,104301,26.4,25.1,27.7
30,MT,Montana,148183,142865,153501,15.2,14.7,15.7,45645,43286,48004,20.9,19.8,22,29528,27502,31554,19,17.7,20.3,44011,43041,44981,14704,13437,15971,24.1,22,26.2
31,NE,Nebraska,230003,223029,236977,12.9,12.5,13.3,79312,75238,83386,17.6,16.7,18.5,49082,45616,52548,15.4,14.3,16.5,50281,49626,50936,27654,25490,29818,21.6,19.9,23.3
32,NV,Nevada,423195,410176,436214,15.8,15.3,16.3,145150,138452,151848,22.2,21.2,23.2,96806,90970,102642,20.8,19.5,22.1,49099,48171,50027,44676,41073,48279,24.4,22.4,26.4
33,NH,New Hampshire,114906,109339,120473,9,8.6,9.4,33632,30821,36443,12.2,11.2,13.2,22178,19671,24685,10.6,9.4,11.8,62436,61238,63634,10296,8901,11691,15.5,13.4,17.6
34,NJ,New Jersey,897916,879759,916073,10.4,10.2,10.6,295301,283981,306621,14.6,14,15.2,196172,186183,206161,13.2,12.5,13.9,67574,66885,68263,94942,89491,100393,18,17,19
35,NM,New Mexico,427340,416881,437799,20.9,20.4,21.4,150984,145435,156533,29.4,28.3,30.5,100777,95994,105560,27.3,26,28.6,42097,41340,42854,48612,45588,51636,34,31.9,36.1
36,NY,New York,3043461,3011369,3075553,16.1,15.9,16.3,960956,943495,978417,22.8,22.4,23.2,658371,643729,673013,21.5,21,22,55147,54754,55540,286025,276658,295392,25.1,24.3,25.9
37,NC,North Carolina,1673627,1648911,1698343,17.8,17.5,18.1,573679,558649,588709,25.4,24.7,26.1,380911,367897,393925,23.3,22.5,24.1,44028,43522,44534,184915,177184,192646,29.8,28.6,31
38,ND,North Dakota,79124,75674,82574,12,11.5,12.5,22034,20407,23661,14.8,13.7,15.9,12766,11528,14004,12.3,11.1,13.5,52135,51032,53238,8386,7354,9418,19,16.7,21.3
39,OH,Ohio,1836098,1811265,1860931,16.3,16.1,16.5,634234,618946,649522,23.9,23.3,24.5,417165,404352,429978,21.5,20.8,22.2,45803,45487,46119,205132,197444,212820,29.4,28.3,30.5
40,OK,Oklahoma,636083,623553,648613,17.3,17,17.6,219853,212652,227054,23.9,23.1,24.7,141724,135488,147960,21.6,20.6,22.6,43232,42647,43817,72557,68765,76349,27.9,26.4,29.4
41,OR,Oregon,655245,640576,669914,17.3,16.9,17.7,197346,189801,204891,23.4,22.5,24.3,130998,124665,137331,21.5,20.5,22.5,46876,46200,47552,61131,56947,65315,26.7,24.9,28.5
42,PA,Pennsylvania,1690003,1665063,1714943,13.7,13.5,13.9,526860,512342,541378,19.4,18.9,19.9,352731,339815,365647,17.7,17.1,18.3,50221,49932,50510,163486,156773,170199,23,22.1,23.9
44,RI,Rhode Island,148079,142716,153442,14.7,14.2,15.2,46569,44086,49052,21.5,20.4,22.6,30944,28855,33033,19.3,18,20.6,53152,51803,54501,14819,13376,16262,26.9,24.3,29.5
45,SC,South Carolina,852999,836781,869217,18.8,18.4,19.2,292835,283723,301947,27.5,26.6,28.4,194488,186688,202288,25.4,24.4,26.4,42477,41933,43021,94809,89932,99686,31.8,30.2,33.4
46,SD,South Dakota,112258,108144,116372,14.1,13.6,14.6,38176,35964,40388,19.2,18.1,20.3,23115,21359,24871,16.6,15.3,17.9,48188,46895,49481,14121,12766,15476,24.3,22,26.6
47,TN,Tennessee,1148161,1127811,1168511,18.4,18.1,18.7,389808,378886,400730,26.5,25.8,27.2,260224,250873,269575,24.4,23.5,25.3,41691,41276,42106,123425,117441,129409,31,29.5,32.5
48,TX,Texas,4627604,4580002,4675206,18.5,18.3,18.7,1825007,1795380,1854634,26.6,26.2,27,1227301,1201313,1253289,24.9,24.4,25.4,49390,49004,49776,577923,563435,592411,30,29.2,30.8
49,UT,Utah,377396,364961,389831,13.6,13.2,14,140772,133410,148134,16.2,15.4,17,90385,83885,96885,14.9,13.8,16,55802,55045,56559,47016,43496,50536,18.2,16.8,19.6
50,VT,Vermont,71378,68401,74355,11.9,11.4,12.4,19367,17893,20841,15.8,14.6,17,11914,10618,13210,13,11.6,14.4,52033,50824,53242,6502,5734,7270,21.3,18.8,23.8
51,VA,Virginia,912779,894233,931325,11.6,11.4,11.8,284561,273934,295188,15.6,15,16.2,189082,179895,198269,14.3,13.6,15,61877,61383,62371,88811,83378,94244,17.7,16.6,18.8
53,WA,Washington,931605,912604,950606,13.9,13.6,14.2,286709,276673,296745,18.5,17.9,19.1,186781,178797,194765,16.9,16.2,17.6,56811,56260,57362,90628,84749,96507,21.1,19.7,22.5
54,WV,West Virginia,336658,327556,345760,18.7,18.2,19.2,98270,94329,102211,26.1,25.1,27.1,65497,62175,68819,24,22.8,25.2,38587,37770,39404,30473,28304,32642,30.2,28.1,32.3
55,WI,Wisconsin,728099,712464,743734,13.1,12.8,13.4,238420,229732,247108,18.4,17.7,19.1,156173,148657,163689,16.5,15.7,17.3,50401,49981,50821,76139,71849,80429,22.1,20.9,23.3
56,WY,Wyoming,62801,59474,66128,11.3,10.7,11.9,20502,18953,22051,15.5,14.3,16.7,12405,11134,13676,13.4,12,14.8,56044,54596,57492,7409,6496,8322,19.1,16.7,21.5
