Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2010

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
South Lake Tahoe Police Dept,CA,12,      21403,         164,           0,          14,,          26,         124,         377,         171,         190,          16,         766.2,            .0,          65.4,,         121.5,         579.4,       1761.4,         799.0,         887.7,          74.8
South Pasadena Police Dept,CA,12,      25619,          25,           0,           8,,          13,           4,         423,         107,         262,          54,          97.6,            .0,          31.2,,          50.7,          15.6,       1651.1,         417.7,       1022.7,         210.8
South San Francisco Police Dept,CA,12,      63632,         152,           5,          13,,          54,          80,       1479,         458,         808,         213,         238.9,           7.9,          20.4,,          84.9,         125.7,       2324.3,         719.8,       1269.8,         334.7
Stanislaus County Sheriff Department,CA,12,,         414,          11,          33,,         106,         264,       3002,       1320,       1421,         261,,,,,,,,,,
Stanton,CA,12,      38186,         156,           2,           1,,          63,          90,         643,         151,         405,          87,         408.5,           5.2,           2.6,,         165.0,         235.7,       1683.9,         395.4,       1060.6,         227.8
Stockton Police Dept,CA,12,     291707,       4033,          49,         107,,       1413,       2464,      16177,       4482,       9654,       2041,       1382.6,          16.8,          36.7,,         484.4,         844.7,       5545.6,       1536.5,       3309.5,         699.7
Suisun City Police Dept,CA,12,      28111,          81,           2,          14,,          33,          32,         665,         158,         426,          81,         288.1,           7.1,          49.8,,         117.4,         113.8,       2365.6,         562.1,       1515.4,         288.1
Sunnyvale Dept Of Public Safety,CA,12,     140081,         169,           0,          26,,          59,          84,       2227,         407,       1574,         246,         120.6,            .0,          18.6,,          42.1,          60.0,       1589.8,         290.5,       1123.6,         175.6
Susanville Police Dept,CA,12,      17947,          82,           1,           6,,          11,          64,         359,         134,         208,          17,         456.9,           5.6,          33.4,,          61.3,         356.6,       2000.3,         746.6,       1159.0,          94.7
Sutter County Sheriff Department,CA,12,,         143,           3,           8,,          12,         120,         661,         203,         413,          45,,,,,,,,,,
Tehama County Sheriff Department,CA,12,,         181,           1,           3,,          11,         166,         278,         165,         112,           1,,,,,,,,,,
Temecula,CA,12,     100097,          74,           2,           3,,          42,          27,       2351,         535,       1642,         174,          73.9,           2.0,           3.0,,          42.0,          27.0,       2348.7,         534.5,       1640.4,         173.8
Temple City,CA,12,      35558,          61,           0,           8,,          17,          36,         430,         140,         254,          36,         171.6,            .0,          22.5,,          47.8,         101.2,       1209.3,         393.7,         714.3,         101.2
Thousand Oaks,CA,12,     126683,         139,           1,          16,,          50,          72,       2036,         358,       1606,          72,         109.7,            .8,          12.6,,          39.5,          56.8,       1607.2,         282.6,       1267.7,          56.8
Torrance Police Dept,CA,12,     145438,         290,           4,          19,,         152,         115,       2859,         516,       2008,         335,         199.4,           2.8,          13.1,,         104.5,          79.1,       1965.8,         354.8,       1380.7,         230.3
Tracy Police Dept,CA,12,      82922,         135,           4,           9,,          57,          65,       2105,         334,       1526,         245,         162.8,           4.8,          10.9,,          68.7,          78.4,       2538.5,         402.8,       1840.3,         295.5
Truckee,CA,12,      16180,          25,           0,           0,,           2,          23,         209,          50,         151,           8,         154.5,            .0,            .0,,          12.4,         142.2,       1291.7,         309.0,         933.3,          49.4
Tulare County Sheriff Department,CA,12,,         521,          15,          32,,          91,         383,,       1128,       2124,,,,,,,,,,,
Tulare Police Dept,CA,12,      59278,         390,           5,          21,,          75,         289,       2613,         527,       1645,         441,         657.9,           8.4,          35.4,,         126.5,         487.5,       4408.0,         889.0,       2775.1,         744.0
Tuolumne County Sheriff Department,CA,12,,          97,           1,          21,,          15,          60,         757,         325,         422,          10,,,,,,,,,,
Turlock Police Dept,CA,12,      68549,         466,           1,          21,,         124,         320,       2881,         686,       1730,         465,         679.8,           1.5,          30.6,,         180.9,         466.8,       4202.8,       1000.7,       2523.7,         678.3
Tustin Police Dept,CA,12,      75540,         128,           1,           9,,          56,          62,       1567,         237,       1186,         144,         169.4,           1.3,          11.9,,          74.1,          82.1,       2074.4,         313.7,       1570.0,         190.6
Twenty-Nine Palms,CA,12,      25048,         119,           1,          15,,          18,          85,         517,         135,         337,          45,         475.1,           4.0,          59.9,,          71.9,         339.3,       2064.0,         539.0,       1345.4,         179.7
Twin Cities Police Dept,CA,12,      21179,          26,           0,           1,,           9,          16,         680,         196,         419,          65,         122.8,            .0,           4.7,,          42.5,          75.5,       3210.7,         925.4,       1978.4,         306.9
Ukiah Dept Of Public Safety,CA,12,      16075,          92,           0,          12,,          10,          70,         466,         156,         291,          19,         572.3,            .0,          74.7,,          62.2,         435.5,       2898.9,         970.5,       1810.3,         118.2
Union City Police Dept,CA,12,      69516,         324,           4,           8,,         138,         174,       1810,         465,       1084,         261,         466.1,           5.8,          11.5,,         198.5,         250.3,       2603.7,         668.9,       1559.4,         375.5
Upland Police Dept,CA,12,      73732,         208,           2,           9,,          86,         111,       2358,         495,       1509,         354,         282.1,           2.7,          12.2,,         116.6,         150.5,       3198.1,         671.4,       2046.6,         480.1
Vacaville Police Dept,CA,12,      92428,         272,           3,          27,,          71,         171,       1866,         322,       1370,         174,         294.3,           3.2,          29.2,,          76.8,         185.0,       2018.9,         348.4,       1482.2,         188.3
Vallejo Police Dept,CA,12,     115942,         822,          17,          59,,         458,         288,       5101,       2249,       1675,       1177,         709.0,          14.7,          50.9,,         395.0,         248.4,       4399.6,       1939.8,       1444.7,       1015.2
