Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Banning Police Dept,CA,12,      29951,         159,           4,           9,,          30,         116,         710,         351,         273,          86,         530.9,          13.4,          30.0,,         100.2,         387.3,       2370.5,       1171.9,         911.5,         287.1
Barstow Police Dept,CA,12,      22905,         185,           2,          12,,          48,         123,         822,         276,         407,         139,         807.7,           8.7,          52.4,,         209.6,         537.0,       3588.7,       1205.0,       1776.9,         606.9
Beaumont Police Dept,CA,12,      37311,          89,           2,           6,,          14,          67,         980,         216,         676,          88,         238.5,           5.4,          16.1,,          37.5,         179.6,       2626.6,         578.9,       1811.8,         235.9
Bell Police Dept,CA,12,      35894,         291,           0,          14,,         101,         176,         801,         235,         394,         172,         810.7,            .0,          39.0,,         281.4,         490.3,       2231.6,         654.7,       1097.7,         479.2
Bell Gardens Police Dept,CA,12,      42567,         170,           8,           5,,          78,          79,         794,         136,         310,         348,         399.4,          18.8,          11.7,,         183.2,         185.6,       1865.3,         319.5,         728.3,         817.5
Bellflower,CA,12,      77517,         286,           4,          14,,         116,         152,       1832,         481,         907,         444,         369.0,           5.2,          18.1,,         149.6,         196.1,       2363.4,         620.5,       1170.1,         572.8
Belmont Police Dept,CA,12,      26139,          16,           0,           2,,           6,           8,         454,          98,         308,          48,          61.2,            .0,           7.7,,          23.0,          30.6,       1736.9,         374.9,       1178.3,         183.6
Benicia Police Dept,CA,12,      27314,          40,           1,           6,,          11,          22,         409,         144,         207,          58,         146.4,           3.7,          22.0,,          40.3,          80.5,       1497.4,         527.2,         757.9,         212.3
Berkeley Police Dept,CA,12,     113903,         482,           1,          19,,         340,         122,       5064,         976,       3460,         628,         423.2,            .9,          16.7,,         298.5,         107.1,       4445.9,         856.9,       3037.7,         551.3
Beverly Hills Police Dept,CA,12,      34510,          58,           1,           2,,          34,          21,         974,         269,         675,          30,         168.1,           2.9,           5.8,,          98.5,          60.9,       2822.4,         779.5,       1956.0,          86.9
Blythe Police Dept,CA,12,      21062,          69,           3,           1,,          10,          55,         695,         272,         403,          20,         327.6,          14.2,           4.7,,          47.5,         261.1,       3299.8,       1291.4,       1913.4,          95.0
Brawley Police Dept,CA,12,      25246,          54,           0,           8,,          12,          34,       1047,         399,         551,          97,         213.9,            .0,          31.7,,          47.5,         134.7,       4147.2,       1580.4,       2182.5,         384.2
Brea Police Dept,CA,12,      39744,          58,           0,           1,,          27,          30,       1419,         202,       1156,          61,         145.9,            .0,           2.5,,          67.9,          75.5,       3570.4,         508.3,       2908.6,         153.5
Brentwood Police Dept,CA,12,      52086,         118,           0,          12,,          46,          60,       1080,         249,         771,          60,         226.5,            .0,          23.0,,          88.3,         115.2,       2073.5,         478.1,       1480.2,         115.2
Buena Park Police Dept,CA,12,      81477,         230,           3,           8,,          76,         143,       1879,         310,       1230,         339,         282.3,           3.7,           9.8,,          93.3,         175.5,       2306.2,         380.5,       1509.6,         416.1
Burbank Police Dept,CA,12,     104555,         191,           1,          17,,          68,         105,       2555,         395,       1926,         234,         182.7,           1.0,          16.3,,          65.0,         100.4,       2443.7,         377.8,       1842.1,         223.8
Burlingame Police Dept,CA,12,      29145,          51,           1,           4,,          19,          27,         639,         146,         434,          59,         175.0,           3.4,          13.7,,          65.2,          92.6,       2192.5,         500.9,       1489.1,         202.4
Butte County Sheriff Department,CA,12,,         106,           2,          13,,          23,          68,       1310,         560,         744,           6,,,,,,,,,,
Calabasas,CA,12,      23329,          11,           0,           0,,           3,           8,         291,          76,         205,          10,          47.2,            .0,            .0,,          12.9,          34.3,       1247.4,         325.8,         878.7,          42.9
Calaveras County Sheriff Department,CA,12,,         102,           1,          14,,           8,          79,         974,         314,         655,           5,,,,,,,,,,
Calexico Police Dept,CA,12,      39025,         112,           1,           6,,          28,          77,       1394,         527,         529,         338,         287.0,           2.6,          15.4,,          71.7,         197.3,       3572.1,       1350.4,       1355.5,         866.1
California City Police Dept,CA,12,      14286,          71,           0,          12,,          10,          49,         510,         255,         228,          27,         497.0,            .0,          84.0,,          70.0,         343.0,       3569.9,       1785.0,       1596.0,         189.0
Camarillo,CA,12,      65968,          79,           2,          10,,          17,          50,         882,         160,         675,          47,         119.8,           3.0,          15.2,,          25.8,          75.8,       1337.0,         242.5,       1023.2,          71.2
Campbell Police Dept,CA,12,      39812,          96,           0,          11,,          36,          49,       1378,         307,         920,         151,         241.1,            .0,          27.6,,          90.4,         123.1,       3461.3,         771.1,       2310.9,         379.3
Canyon Lake,CA,12,      10685,          21,           0,           1,,           1,          19,         225,          34,         160,          31,         196.5,            .0,           9.4,,           9.4,         177.8,       2105.8,         318.2,       1497.4,         290.1
Capitola Police Dept,CA,12,      10035,          28,           1,           2,,           8,          17,         598,          65,         518,          15,         279.0,          10.0,          19.9,,          79.7,         169.4,       5959.1,         647.7,       5161.9,         149.5
Carslbad Police Dept,CA,12,     106566,         210,           4,          11,,          35,         160,       1970,         468,       1375,         127,         197.1,           3.8,          10.3,,          32.8,         150.1,       1848.6,         439.2,       1290.3,         119.2
Carpinteria,CA,12,      13193,          24,           0,           3,,           3,          18,         204,          43,         149,          12,         181.9,            .0,          22.7,,          22.7,         136.4,       1546.3,         325.9,       1129.4,          91.0
Carson,CA,12,      92792,         444,           5,          13,,         106,         320,       2492,         573,       1360,         559,         478.5,           5.4,          14.0,,         114.2,         344.9,       2685.6,         617.5,       1465.6,         602.4
Cathedral City Police Dept,CA,12,      51802,         226,           4,          15,,          53,         154,       1783,         790,         713,         280,         436.3,           7.7,          29.0,,         102.3,         297.3,       3442.0,       1525.0,       1376.4,         540.5
Ceres Dept Of Public Safety,CA,12,      45951,         164,           0,           6,,          50,         108,       1692,         374,       1037,         281,         356.9,            .0,          13.1,,         108.8,         235.0,       3682.2,         813.9,       2256.8,         611.5
Cerritos,CA,12,      49618,          84,           0,           4,,          51,          29,       1761,         375,       1221,         165,         169.3,            .0,           8.1,,         102.8,          58.4,       3549.1,         755.8,       2460.8,         332.5
Chico Police Dept,CA,12,      87200,         245,           5,          37,,          92,         111,       2115,         487,       1337,         291,         281.0,           5.7,          42.4,,         105.5,         127.3,       2425.5,         558.5,       1533.3,         333.7
Chino Police Dept,CA,12,      78900,         247,           2,           9,,          58,         178,       2072,         530,       1341,         201,         313.1,           2.5,          11.4,,          73.5,         225.6,       2626.1,         671.7,       1699.6,         254.8
Chino Hills,CA,12,      75678,          68,           0,           4,,          16,          48,         978,         264,         624,          90,          89.9,            .0,           5.3,,          21.1,          63.4,       1292.3,         348.8,         824.5,         118.9
Chowchilla Police Dept,CA,12,      18940,          82,           0,           2,,           4,          76,         453,         184,         233,          36,         432.9,            .0,          10.6,,          21.1,         401.3,       2391.8,         971.5,       1230.2,         190.1
Chula Vista Police Dept,CA,12,     246783,         670,           6,          34,,         233,         397,       5007,         807,       3316,         884,         271.5,           2.4,          13.8,,          94.4,         160.9,       2028.9,         327.0,       1343.7,         358.2
Claremont Police Dept,CA,12,      35337,          32,           0,           1,,          19,          12,         850,         207,         601,          42,          90.6,            .0,           2.8,,          53.8,          34.0,       2405.4,         585.8,       1700.8,         118.9
Clayton Police Dept,CA,12,      11025,           8,           0,           1,,           2,           5,         101,          25,          73,           3,          72.6,            .0,           9.1,,          18.1,          45.4,         916.1,         226.8,         662.1,          27.2
Clearlake Police Dept,CA,12,      15429,         143,           2,          14,,          21,         106,         699,         251,         367,          81,         926.8,          13.0,          90.7,,         136.1,         687.0,       4530.4,       1626.8,       2378.6,         525.0
Clovis Police Dept,CA,12,      96755,         211,           4,          26,,          55,         126,       3933,         914,       2608,         411,         218.1,           4.1,          26.9,,          56.8,         130.2,       4064.9,         944.7,       2695.5,         424.8
Coachella Police Dept,CA,12,      41183,         276,           1,           5,,          76,         194,       1697,         467,         972,         258,         670.2,           2.4,          12.1,,         184.5,         471.1,       4120.6,       1134.0,       2360.2,         626.5
Coalinga Police Dept,CA,12,      13537,         114,           1,           4,,           5,         104,         676,         223,         420,          33,         842.1,           7.4,          29.5,,          36.9,         768.3,       4993.7,       1647.3,       3102.6,         243.8
Colton Police Dept,CA,12,      52767,         189,           4,           8,,          90,          87,       1558,         446,         844,         268,         358.2,           7.6,          15.2,,         170.6,         164.9,       2952.6,         845.2,       1599.5,         507.9
Commerce,CA,12,      12974,         116,           0,           5,,          46,          65,         949,         117,         507,         325,         894.1,            .0,          38.5,,         354.6,         501.0,       7314.6,         901.8,       3907.8,       2505.0
Compton Police Dept,CA,12,      97589,       1067,          17,          45,,         380,         625,       2865,         800,       1202,         863,       1093.4,          17.4,          46.1,,         389.4,         640.4,       2935.8,         819.8,       1231.7,         884.3
Concord Police Dept,CA,12,     123502,         430,           7,          19,,         167,         237,       3803,         898,       2268,         637,         348.2,           5.7,          15.4,,         135.2,         191.9,       3079.3,         727.1,       1836.4,         515.8
Contra Costa County Sheriff Department,CA,12,,         456,          13,          30,,         109,         304,       2475,       1033,       1423,          19,,,,,,,,,,
Corcoran Police Dept,CA,12,      25105,          76,           1,           1,,          13,          61,         355,         106,         207,          42,         302.7,           4.0,           4.0,,          51.8,         243.0,       1414.1,         422.2,         824.5,         167.3
Corona Police Dept,CA,12,     154165,         200,           2,          10,,         105,          83,       3354,         705,       2298,         351,         129.7,           1.3,           6.5,,          68.1,          53.8,       2175.6,         457.3,       1490.6,         227.7
Coronado Police Dept,CA,12,      24987,          25,           0,           2,,           6,          17,         483,          68,         376,          39,         100.1,            .0,           8.0,,          24.0,          68.0,       1933.0,         272.1,       1504.8,         156.1
Costa Mesa Police Dept,CA,12,     111253,         231,           4,          30,,          83,         114,       3534,         524,       2743,         267,         207.6,           3.6,          27.0,,          74.6,         102.5,       3176.5,         471.0,       2465.6,         240.0
Covina Police Dept,CA,12,      48358,         142,           1,          10,,          43,          88,       1719,         372,       1195,         152,         293.6,           2.1,          20.7,,          88.9,         182.0,       3554.7,         769.3,       2471.2,         314.3
Cudahy,CA,12,      24085,         167,           0,           7,,          60,         100,         371,          49,         195,         127,         693.4,            .0,          29.1,,         249.1,         415.2,       1540.4,         203.4,         809.6,         527.3
Culver City Police Dept,CA,12,      39340,         146,           2,           6,,          74,          64,       1669,         199,       1363,         107,         371.1,           5.1,          15.3,,         188.1,         162.7,       4242.5,         505.8,       3464.7,         272.0
Cupertino,CA,12,      58987,          46,           1,           4,,          18,          23,         711,         139,         555,          17,          78.0,           1.7,           6.8,,          30.5,          39.0,       1205.4,         235.6,         940.9,          28.8
Cypress Police Dept,CA,12,      48364,          60,           1,           8,,          18,          33,         857,         150,         647,          60,         124.1,           2.1,          16.5,,          37.2,          68.2,       1772.0,         310.1,       1337.8,         124.1
Daly City Police Dept,CA,12,     102312,         184,           1,          14,,          59,         110,       1880,         322,       1308,         250,         179.8,           1.0,          13.7,,          57.7,         107.5,       1837.5,         314.7,       1278.4,         244.4
Dana Point,CA,12,      33743,          53,           0,           0,,           5,          48,         627,         101,         489,          37,         157.1,            .0,            .0,,          14.8,         142.3,       1858.2,         299.3,       1449.2,         109.7
Danville,CA,12,      42533,          26,           0,           0,,           7,          19,         493,         102,         361,          30,          61.1,            .0,            .0,,          16.5,          44.7,       1159.1,         239.8,         848.8,          70.5
Davis Police Dept,CA,12,      66393,         114,           2,          33,,          38,          41,       1489,         398,       1000,          91,         171.7,           3.0,          49.7,,          57.2,          61.8,       2242.7,         599.5,       1506.2,         137.1
Delano Police Dept,CA,12,      53665,         220,           1,           7,,          48,         164,       1644,         773,         513,         358,         410.0,           1.9,          13.0,,          89.4,         305.6,       3063.4,       1440.4,         955.9,         667.1
Desert Hot Springs,CA,12,      26243,         334,           4,          14,,          55,         261,       1463,         594,         693,         176,       1272.7,          15.2,          53.3,,         209.6,         994.6,       5574.8,       2263.5,       2640.7,         670.7
Diamond Bar,CA,12,      56197,          58,           2,           6,,          24,          26,         778,         254,         473,          51,         103.2,           3.6,          10.7,,          42.7,          46.3,       1384.4,         452.0,         841.7,          90.8
Dinuba Police Dept,CA,12,      21705,         156,           0,           0,,          21,         135,         765,         297,         366,         102,         718.7,            .0,            .0,,          96.8,         622.0,       3524.5,       1368.3,       1686.2,         469.9
Dixon Police Dept,CA,12,      18567,          44,           0,           4,,           7,          33,         355,          75,         237,          43,         237.0,            .0,          21.5,,          37.7,         177.7,       1912.0,         403.9,       1276.5,         231.6
Downey Police Dept,CA,12,     113086,         390,           2,          23,,         204,         161,       3876,         769,       2054,       1053,         344.9,           1.8,          20.3,,         180.4,         142.4,       3427.5,         680.0,       1816.3,         931.1
Duarte,CA,12,      21572,          60,           0,           5,,          16,          39,         427,         110,         263,          54,         278.1,            .0,          23.2,,          74.2,         180.8,       1979.4,         509.9,       1219.2,         250.3
Dublin,CA,12,      46577,          79,           0,           4,,          16,          59,         642,         115,         478,          49,         169.6,            .0,           8.6,,          34.4,         126.7,       1378.4,         246.9,       1026.3,         105.2
East Palo Alto Police Dept,CA,12,      28486,         263,           8,          19,,         107,         129,         824,         427,         239,         158,         923.3,          28.1,          66.7,,         375.6,         452.9,       2892.6,       1499.0,         839.0,         554.7
Eastvale,CA,12,      54299,          46,           1,           3,,          20,          22,         963,         199,         637,         127,          84.7,           1.8,           5.5,,          36.8,          40.5,       1773.5,         366.5,       1173.1,         233.9
El Cajon Police Dept,CA,12,     100647,         529,           2,          28,,         187,         312,       2468,         603,       1443,         422,         525.6,           2.0,          27.8,,         185.8,         310.0,       2452.1,         599.1,       1433.7,         419.3
El Centro Police Dept,CA,12,      43099,         165,           2,          11,,          36,         116,       2284,         695,       1424,         165,         382.8,           4.6,          25.5,,          83.5,         269.1,       5299.4,       1612.6,       3304.0,         382.8
El Cerrito Police Dept,CA,12,      23826,         104,           0,           3,,          58,          43,         923,         228,         587,         108,         436.5,            .0,          12.6,,         243.4,         180.5,       3873.9,         956.9,       2463.7,         453.3
El Dorado County Sheriff Department,CA,12,,         192,           2,          21,,          21,         148,       2273,       1020,       1241,          12,,,,,,,,,,
El Monte Police Dept,CA,12,     114809,         421,           1,          33,,         196,         191,       2286,         544,       1136,         606,         366.7,            .9,          28.7,,         170.7,         166.4,       1991.1,         473.8,         989.5,         527.8
El Segundo Police Dept,CA,12,      16850,          38,           0,           4,,          15,          19,         550,         161,         338,          51,         225.5,            .0,          23.7,,          89.0,         112.8,       3264.1,         955.5,       2005.9,         302.7
Emeryville Police Dept,CA,12,      10199,         208,           0,           2,,          73,         133,       1257,         161,         977,         119,       2039.4,            .0,          19.6,,         715.8,       1304.0,      12324.7,       1578.6,       9579.4,       1166.8
Encinitas,CA,12,      60218,         140,           0,          10,,          27,         103,       1037,         222,         722,          93,         232.5,            .0,          16.6,,          44.8,         171.0,       1722.1,         368.7,       1199.0,         154.4
Escondido Police Dept,CA,12,     145603,         495,           3,          28,,         177,         287,       3210,         557,       2156,         497,         340.0,           2.1,          19.2,,         121.6,         197.1,       2204.6,         382.5,       1480.7,         341.3
Eureka Police Dept,CA,12,      27511,         122,           1,          28,,          35,          58,       1644,         447,       1012,         185,         443.5,           3.6,         101.8,,         127.2,         210.8,       5975.8,       1624.8,       3678.5,         672.5
Exeter Police Dept,CA,12,      10455,          45,           1,           1,,          10,          33,         342,         138,         180,          24,         430.4,           9.6,           9.6,,          95.6,         315.6,       3271.2,       1319.9,       1721.7,         229.6
Fairfield Police Dept,CA,12,     106559,         425,           5,          21,,         148,         251,       2974,         572,       2055,         347,         398.8,           4.7,          19.7,,         138.9,         235.6,       2790.9,         536.8,       1928.5,         325.6
Farmersville Police Dept,CA,12,      10712,          37,           1,           0,,           4,          32,         247,          79,         134,          34,         345.4,           9.3,            .0,,          37.3,         298.7,       2305.8,         737.5,       1250.9,         317.4
Fillmore,CA,12,      15178,          32,           0,           2,,          17,          13,         230,          35,         164,          31,         210.8,            .0,          13.2,,         112.0,          85.7,       1515.4,         230.6,       1080.5,         204.2
Folsom Police Dept,CA,12,      73052,          84,           1,          15,,          33,          35,       1510,         316,       1116,          78,         115.0,           1.4,          20.5,,          45.2,          47.9,       2067.0,         432.6,       1527.7,         106.8
Fontana Police Dept,CA,12,     198374,         720,           5,          39,,         241,         435,       4235,       1041,       2411,         783,         363.0,           2.5,          19.7,,         121.5,         219.3,       2134.9,         524.8,       1215.4,         394.7
Fortuna Police Dept,CA,12,      12066,          56,           0,          11,,           6,          39,         381,          76,         280,          25,         464.1,            .0,          91.2,,          49.7,         323.2,       3157.6,         629.9,       2320.6,         207.2
Foster City Police Dept,CA,12,      30926,          26,           1,           1,,           2,          22,         395,         107,         255,          33,          84.1,           3.2,           3.2,,           6.5,          71.1,       1277.2,         346.0,         824.5,         106.7
Fountain Valley Police Dept,CA,12,      55963,          79,           1,           8,,          14,          56,       1279,         273,         941,          65,         141.2,           1.8,          14.3,,          25.0,         100.1,       2285.4,         487.8,       1681.5,         116.1
Fremont Police Dept,CA,12,     216606,         384,           2,          35,,         156,         191,       3952,       1206,       2303,         443,         177.3,            .9,          16.2,,          72.0,          88.2,       1824.5,         556.8,       1063.2,         204.5
Fresno County Sheriff Department,CA,12,,         740,           6,          23,,         125,         586,       4781,       1618,       2331,         832,,,,,,,,,,
Fresno Police Dept,CA,12,     500480,       2915,          35,          51,,       1020,       1809,      25421,       5713,      14928,       4780,         582.4,           7.0,          10.2,,         203.8,         361.5,       5079.3,       1141.5,       2982.7,         955.1
Fullerton Police Dept,CA,12,     136750,         306,           2,          25,,         104,         175,       3550,         643,       2548,         359,         223.8,           1.5,          18.3,,          76.1,         128.0,       2596.0,         470.2,       1863.3,         262.5
Galt Police Dept,CA,12,      23925,          44,           0,           1,,          25,          18,         421,         111,         266,          44,         183.9,            .0,           4.2,,         104.5,          75.2,       1759.7,         463.9,       1111.8,         183.9
Garden Grove Police Dept,CA,12,     172892,         449,           2,          19,,         171,         257,       3387,         717,       2242,         428,         259.7,           1.2,          11.0,,          98.9,         148.6,       1959.0,         414.7,       1296.8,         247.6
Gardena Police Dept,CA,12,      59521,         281,           2,          11,,         139,         129,       1453,         395,         789,         269,         472.1,           3.4,          18.5,,         233.5,         216.7,       2441.2,         663.6,       1325.6,         451.9
Gilroy Dept Of Public Safety,CA,12,      49395,         204,           1,           8,,          65,         130,       1382,         207,       1006,         169,         413.0,           2.0,          16.2,,         131.6,         263.2,       2797.9,         419.1,       2036.6,         342.1
Glendale Police Dept,CA,12,     193973,         258,           0,          14,,         108,         136,       3452,         623,       2506,         323,         133.0,            .0,           7.2,,          55.7,          70.1,       1779.6,         321.2,       1291.9,         166.5
Glendora Police Dept,CA,12,      50662,          65,           0,           7,,          35,          23,       1309,         185,       1068,          56,         128.3,            .0,          13.8,,          69.1,          45.4,       2583.8,         365.2,       2108.1,         110.5
Goleta,CA,12,      30239,          40,           0,           4,,           8,          28,         383,          98,         268,          17,         132.3,            .0,          13.2,,          26.5,          92.6,       1266.6,         324.1,         886.3,          56.2
Grand Terrace,CA,12,      12182,          17,           0,           1,,           4,          12,         238,          77,         127,          34,         139.6,            .0,           8.2,,          32.8,          98.5,       1953.7,         632.1,       1042.5,         279.1
Grass Valley Police Dept,CA,12,      13011,          64,           0,           7,,          13,          44,         453,          77,         339,          37,         491.9,            .0,          53.8,,          99.9,         338.2,       3481.7,         591.8,       2605.5,         284.4
Greenfield Police Dept,CA,12,      16522,          82,           5,           4,,          29,          44,         306,          87,         168,          51,         496.3,          30.3,          24.2,,         175.5,         266.3,       1852.1,         526.6,       1016.8,         308.7
Grover Beach Police Dept,CA,12,      13311,          36,           0,          10,,           3,          23,         322,          77,         211,          34,         270.5,            .0,          75.1,,          22.5,         172.8,       2419.1,         578.5,       1585.2,         255.4
Hanford Police Dept,CA,12,      54601,         174,           2,           7,,          48,         117,       1447,         286,       1002,         159,         318.7,           3.7,          12.8,,          87.9,         214.3,       2650.1,         523.8,       1835.1,         291.2
Hawaiian Gardens Police Dept,CA,12,      14422,          67,           0,           0,,          30,          37,         216,          41,         120,          55,         464.6,            .0,            .0,,         208.0,         256.6,       1497.7,         284.3,         832.1,         381.4
Hawthorne Police Dept,CA,12,      85284,         623,           5,          25,,         302,         291,       2124,         598,       1136,         390,         730.5,           5.9,          29.3,,         354.1,         341.2,       2490.5,         701.2,       1332.0,         457.3
Hayward Police Dept,CA,12,     145881,         579,           7,          44,,         360,         168,       3782,         988,       1693,       1101,         396.9,           4.8,          30.2,,         246.8,         115.2,       2592.5,         677.3,       1160.5,         754.7
Healdsburg Police Dept,CA,12,      11386,          14,           0,           4,,           2,           8,         242,          54,         187,           1,         123.0,            .0,          35.1,,          17.6,          70.3,       2125.4,         474.3,       1642.4,           8.8
Hemet Police Dept,CA,12,      79582,         361,           5,          15,,         124,         217,       3472,       1173,       1911,         388,         453.6,           6.3,          18.8,,         155.8,         272.7,       4362.8,       1474.0,       2401.3,         487.5
Hercules Police Dept,CA,12,      24343,          33,           0,           2,,          10,          21,         312,          94,         174,          44,         135.6,            .0,           8.2,,          41.1,          86.3,       1281.7,         386.1,         714.8,         180.8
Hermosa Beach Police Dept,CA,12,      19735,          62,           1,           7,,          16,          38,         605,         130,         450,          25,         314.2,           5.1,          35.5,,          81.1,         192.6,       3065.6,         658.7,       2280.2,         126.7
Hesperia,CA,12,      91233,         313,           2,          25,,          95,         191,       2249,         668,       1181,         400,         343.1,           2.2,          27.4,,         104.1,         209.4,       2465.1,         732.2,       1294.5,         438.4
Highland,CA,12,      53728,         236,           4,          10,,          81,         141,       1457,         556,         641,         260,         439.2,           7.4,          18.6,,         150.8,         262.4,       2711.8,       1034.8,       1193.0,         483.9
Hillsborough Police Dept,CA,12,      10952,           0,           0,           0,,           0,           0,          73,          29,          41,           3,            .0,            .0,            .0,,            .0,            .0,         666.5,         264.8,         374.4,          27.4
Hollister Police Dept,CA,12,      35339,         158,           4,          10,,          28,         116,         621,         251,         297,          73,         447.1,          11.3,          28.3,,          79.2,         328.2,       1757.3,         710.3,         840.4,         206.6
Humboldt County Sheriff Department,CA,12,,         203,           2,          21,,          46,         134,       1109,         436,         646,          27,,,,,,,,,,
Huntington Beach Police Dept,CA,12,     192226,         406,           4,          34,,         108,         260,       4589,         753,       3584,         252,         211.2,           2.1,          17.7,,          56.2,         135.3,       2387.3,         391.7,       1864.5,         131.1
Huntington Park Police Dept,CA,12,      58797,         487,           1,          10,,         317,         159,       2100,         209,       1128,         763,         828.3,           1.7,          17.0,,         539.1,         270.4,       3571.6,         355.5,       1918.5,       1297.7
Imperial County Sheriff Department,CA,12,,         110,           0,           4,,           6,         100,         676,         255,         399,          22,,,,,,,,,,
Imperial Police Dept,CA,12,      14931,           8,           0,           0,,           0,           8,          88,          22,          48,          18,          53.6,            .0,            .0,,            .0,          53.6,         589.4,         147.3,         321.5,         120.6
Indio Police Dept,CA,12,      76930,         430,           3,          24,,         110,         293,       2610,         788,       1453,         369,         558.9,           3.9,          31.2,,         143.0,         380.9,       3392.7,       1024.3,       1888.7,         479.7
Inglewood Police Dept,CA,12,     110962,         808,          13,          33,,         343,         419,       2582,         568,       1459,         555,         728.2,          11.7,          29.7,,         309.1,         377.6,       2326.9,         511.9,       1314.9,         500.2
Irvine Police Department,CA,12,     214872,         120,           2,          11,,          40,          67,       3280,         513,       2649,         118,          55.8,            .9,           5.1,,          18.6,          31.2,       1526.5,         238.7,       1232.8,          54.9
Jurupa Valley,CA,6,      96680,         150,           2,           4,,          40,         104,       1414,         316,         831,         267,,,,,,,,,,
Kerman Police Dept,CA,12,      13703,          60,           1,           6,,          18,          35,         548,         117,         299,         132,         437.9,           7.3,          43.8,,         131.4,         255.4,       3999.1,         853.8,       2182.0,         963.3
Kern County Sheriff Department,CA,12,,       1822,          22,         108,,         358,       1334,      10198,       3301,       5378,       1519,,,,,,,,,,
King City Police Dept,CA,12,      13025,          70,           1,           9,,           5,          55,         264,         111,         113,          40,         537.4,           7.7,          69.1,,          38.4,         422.3,       2026.9,         852.2,         867.6,         307.1
Kings County Sheriff Department,CA,12,,         137,           2,          13,,          15,         107,         683,         242,         386,          55,,,,,,,,,,
Kingsburg Police Dept,CA,12,      11516,          64,           0,           2,,           4,          58,         369,         105,         209,          55,         555.7,            .0,          17.4,,          34.7,         503.6,       3204.2,         911.8,       1814.9,         477.6
La Canada-Flintridge,CA,12,      20484,          14,           0,           2,,           3,           9,         349,          94,         243,          12,          68.3,            .0,           9.8,,          14.6,          43.9,       1703.8,         458.9,       1186.3,          58.6
La Habra Police Dept,CA,12,      60947,         201,           0,           3,,          47,         151,       1370,         233,       1026,         111,         329.8,            .0,           4.9,,          77.1,         247.8,       2247.9,         382.3,       1683.4,         182.1
Lamesa Police Dept,CA,12,      57736,         227,           1,          11,,          93,         122,       1533,         308,         997,         228,         393.2,           1.7,          19.1,,         161.1,         211.3,       2655.2,         533.5,       1726.8,         394.9
La Mirada,CA,12,      49097,          81,           0,           3,,          20,          58,         807,         129,         536,         142,         165.0,            .0,           6.1,,          40.7,         118.1,       1643.7,         262.7,       1091.7,         289.2
La Palma Police Dept,CA,12,      15751,          11,           1,           2,,           6,           2,         255,          63,         169,          23,          69.8,           6.3,          12.7,,          38.1,          12.7,       1618.9,         400.0,       1072.9,         146.0
La Puente,CA,12,      40284,         157,           3,           6,,          44,         104,         594,         136,         294,         164,         389.7,           7.4,          14.9,,         109.2,         258.2,       1474.5,         337.6,         729.8,         407.1
