county,year,violent_crime_rate,property_crime_rate,poverty_estimate_all_ages,poverty_percent_all_ages,poverty_estimate_under_age_18,poverty_percent_under_ age_18,poverty_estimate_ages_5-17,poverty_percent_ages_5-17,median_household_income,labor_force,employed,unemployed_level,unemployed_rate,cum_population_change,cum_natural_increase,cum_births,cum_deaths,cum_net_migration,cum_intl_migration,cum_dom_migration,population_change,natural_increase,births,deaths,net_migration,intl_migration,dom_migration
Tulare County,2012,3210.5,23348.2,132911,29.7,58138,40.5,41590,40.7,40197,201287,168764,32523,16.2,9798,12529,18591,6062,-2643,555,-3198,4059,5589,8281,2692,-1522,304,-1826
Shasta County,2012,1640.1,10840.9,30171,17.1,9835,25.9,6961,25.1,44477,76009,65229,10780,14.2,1363,303,4659,4356,993,341,652,555,122,2030,1908,456,158,298
Santa Barbara County,2012,1893.3,12593.2,67314,16.3,20168,21.2,13694,20.3,60683,216005,197919,18086,8.4,7354,6803,13255,6452,725,2749,-2024,5148,2946,5862,2916,2213,1375,838
Marin County,2012,764,8466.3,21058,8.5,5377,10.3,3681,9.5,88654,136911,128310,8601,6.3,3660,1303,5251,3948,2489,1859,630,576,513,2271,1758,93,847,-754
Placer County,2011,972.9,11113.2,29985,8.5,8387,9.9,5578,8.7,69581,173744,154923,18821,10.8,8706,1503,4696,3193,7163,695,6468,6905,1181,3746,2565,5691,501,5190
Solano County,2013,2051.2,16096.2,53441,12.9,17418,17.8,11840,16.6,63398,203055,184630,18425,9.1,11444,7175,16829,9654,4183,4317,-134,4453,2158,5237,3079,2119,1323,796
Yolo County,2014,1173.1,7863.4,39493,19.5,7788,17.5,5304,16.4,54509,102474,94763,7711,7.5,6740,5271,10299,5028,1345,4394,-3049,2105,1254,2455,1201,848,1092,-244
Napa County,2012,596.8,5190.3,13111,9.7,4316,14,2889,12.7,65698,71816,65755,6061,8.4,2561,953,3636,2683,1621,701,920,1068,406,1647,1241,676,331,345
Lassen County,2014,711.1,2093.3,4473,19.4,1069,20.3,717,18.7,49995,10843,9856,987,9.1,-3146,301,1270,969,-3471,133,-3604,-463,75,286,211,-543,34,-577
Yolo County,2012,840.7,8241.2,33838,17.1,7829,17.6,5448,16.8,51040,102610,91689,10921,10.6,3269,2834,5400,2566,411,1685,-1274,1927,1209,2356,1147,733,772,-39
Ventura County,2014,2095.7,15255.8,95912,11.5,31764,15.8,21410,14.5,74967,431107,402455,28652,6.6,22758,23133,45529,22396,-544,7266,-7810,5206,5005,10602,5597,310,1840,-1530
San Luis Obispo County,2011,1438.1,14895.5,38626,15.1,8594,17.5,5977,16.7,53877,134374,121509,12865,9.6,2332,717,3301,2584,1629,380,1249,1857,554,2632,2078,1310,276,1034
Mendocino County,2012,667.8,2974.3,18375,21.3,5900,31.4,4294,31.9,41088,40953,36841,4112,10,-413,616,2366,1750,-1000,142,-1142,-61,271,1041,770,-323,64,-387
Ventura County,2012,1780.7,16285.8,96062,11.6,36174,17.7,23616,15.7,71043,434681,395158,39523,9.1,12663,13543,25125,11582,-733,3157,-3890,4855,5807,11103,5296,-948,1608,-2556
Lake County,2012,1110.3,4408.6,15790,25.1,4087,31.5,2882,30.8,35437,29509,25738,3771,12.8,-682,-103,1580,1683,-538,40,-578,-279,-70,688,758,-196,18,-214
Sonoma County,2011,1829.7,10777.5,58394,12.2,16590,15.9,10661,14,60792,246171,220958,25213,10.2,4238,2095,6777,4682,2188,1266,922,3404,1675,5444,3769,1756,967,789
Alameda County,2014,5079,46150.7,197984,12.5,48750,14.3,33524,13.8,76996,809983,762878,47105,5.8,100660,42556,82793,40237,59746,44678,15068,27695,9962,19989,10027,18430,11155,7275
Placer County,2014,732.4,9592.7,30490,8.3,8188,9.7,5108,8,75689,175888,164871,11017,6.3,23200,3767,15877,12110,18912,2788,16124,4355,784,3708,2924,3229,699,2530
Sacramento County,2013,1701.4,11436.5,272592,18.9,92187,25.9,62242,24.3,52980,680241,619835,60406,8.9,43343,30928,65044,34116,12008,14282,-2274,14078,9378,20082,10704,4038,4574,-536
San Luis Obispo County,2012,2006.8,14797.9,36010,14,8239,16.7,5400,15,58427,137362,126037,11325,8.2,5167,1057,5889,4832,4171,440,3731,3459,420,2556,2136,3016,213,2803
Kern County,2013,3914.7,24555.8,189029,22.7,77009,30.5,52927,29.4,46688,393440,347213,46227,11.7,24493,28766,46790,18024,-3946,4109,-8055,8626,8803,14477,5674,-12,1253,-1265
Orange County,2014,5025.3,51431.4,400252,12.9,126952,17.9,89899,17.3,76061,1572653,1486383,86270,5.5,135246,84551,162288,77737,52028,53174,-1146,23661,19222,38295,19073,5455,13400,-7945
Tehama County,2013,1030.3,6619.6,11148,17.9,4250,28.7,2871,26.3,43459,25086,22171,2915,11.6,-406,519,2409,1890,-911,173,-1084,-207,149,724,575,-317,50,-367
San Mateo County,2011,2979.1,25761.3,56676,7.9,15751,10,10501,9.4,81378,399859,369827,30032,7.5,8758,5661,11342,5681,3159,3642,-483,7605,4564,9092,4528,3085,2948,137
Yolo County,2011,837.7,7149.7,41756,21.3,8951,20.5,6175,19.6,50174,101806,89818,11988,11.8,1205,1603,2998,1395,-410,868,-1278,949,1279,2402,1123,-335,659,-994
Tehama County,2014,914.7,6459.6,11358,18.2,3956,26.7,2703,24.8,40782,25144,22726,2418,9.6,-394,742,3248,2506,-1130,258,-1388,-63,181,773,592,-259,63,-322
El Dorado County,2012,1210.5,4371.5,16708,9.3,4724,12.2,3239,10.8,68446,89051,79958,9093,10.2,-497,710,3743,3033,-1105,168,-1273,-333,259,1649,1390,-587,75,-662
Tuolumne County,2012,,,7438,14.8,1865,20.8,1246,18.5,46624,22315,19419,2896,13,-1357,-285,968,1253,-1103,69,-1172,-684,-149,410,559,-530,31,-561
San Luis Obispo County,2014,2314.4,13768.7,38048,14.5,7765,15.6,5259,14.5,61775,140565,132727,7838,5.6,9490,1692,11123,9431,7564,928,6636,2799,411,2610,2199,2267,245,2022
Santa Clara County,2011,2047.6,24884.2,190005,10.7,53621,12.6,36750,12.1,84741,939851,852426,87425,9.3,27736,18509,29853,11344,9297,13579,-4282,23111,14926,23999,9073,8263,10973,-2710
