GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Total Population Change [1]"
natinc4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Natural Increase"
births4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Births"
deaths4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Deaths"
netmig4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Total"
intlmig4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - International [2]"
dommig4201072016,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Domestic"
popchg20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Total Population Change [1]"
natinc20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Natural Increase"
births20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Births"
deaths20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Deaths"
netmig20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Total"
intlmig20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - International [2]"
dommig20152016,"Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Domestic"
