Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Adelanto Police Dept,CA,12,      31165,         198,           2,          15,,          52,         129,         886,         381,         372,         133,         635.3,           6.4,          48.1,,         166.9,         413.9,       2842.9,       1222.5,       1193.6,         426.8
Agoura Hills,CA,12,      20762,          19,           0,           2,,          10,           7,         306,         109,         185,          12,          91.5,            .0,           9.6,,          48.2,          33.7,       1473.8,         525.0,         891.1,          57.8
Alameda County Sheriff Department,CA,12,,         648,           5,          21,,         194,         428,       2409,         659,         947,         803,,,,,,,,,,
Alameda Police Dept,CA,12,      76206,         158,           0,          10,,          85,          63,       1902,         287,       1285,         330,         207.3,            .0,          13.1,,         111.5,          82.7,       2495.9,         376.6,       1686.2,         433.0
Albany Police Dept,CA,12,      19104,          29,           0,           1,,          24,           4,         557,          94,         388,          75,         151.8,            .0,           5.2,,         125.6,          20.9,       2915.6,         492.0,       2031.0,         392.6
Alhambra Police Dept,CA,12,      84710,         163,           1,           9,,          81,          72,       1774,         344,       1196,         234,         192.4,           1.2,          10.6,,          95.6,          85.0,       2094.2,         406.1,       1411.9,         276.2
Aliso Viejo,CA,12,      50005,          25,           0,           2,,           4,          19,         315,          71,         224,          20,          50.0,            .0,           4.0,,           8.0,          38.0,         629.9,         142.0,         448.0,          40.0
American Canyon,CA,12,      20068,          54,           0,           4,,          31,          19,         510,          91,         387,          32,         269.1,            .0,          19.9,,         154.5,          94.7,       2541.4,         453.5,       1928.4,         159.5
Anaheim Police Dept,CA,12,     345320,       1130,          11,          82,,         437,         600,       9611,       1412,       6518,       1681,         327.2,           3.2,          23.7,,         126.5,         173.8,       2783.2,         408.9,       1887.5,         486.8
Anderson Police Dept,CA,12,      10098,          63,           0,           8,,           9,          46,         721,         147,         454,         120,         623.9,            .0,          79.2,,          89.1,         455.5,       7140.0,       1455.7,       4495.9,       1188.4
Antioch Police Dept,CA,12,     106447,         946,          12,          25,,         352,         557,       4440,       1351,       1872,       1217,         888.7,          11.3,          23.5,,         330.7,         523.3,       4171.1,       1269.2,       1758.6,       1143.3
Apple Valley,CA,12,      71159,         185,           3,          12,,          58,         112,       1594,         596,         775,         223,         260.0,           4.2,          16.9,,          81.5,         157.4,       2240.1,         837.6,       1089.1,         313.4
Arcadia Police Dept,CA,12,      57855,          77,           0,           1,,          37,          39,       1518,         376,       1080,          62,         133.1,            .0,           1.7,,          64.0,          67.4,       2623.8,         649.9,       1866.7,         107.2
Arcata Police Dept,CA,12,      17805,          67,           3,           7,,          15,          42,         841,         147,         634,          60,         376.3,          16.8,          39.3,,          84.2,         235.9,       4723.4,         825.6,       3560.8,         337.0
Arroyo Grande Police Dept,CA,12,      17634,          31,           0,           5,,           4,          22,         455,         137,         288,          30,         175.8,            .0,          28.4,,          22.7,         124.8,       2580.2,         776.9,       1633.2,         170.1
Artesia,CA,12,      16734,          63,           2,           0,,          28,          33,         323,          91,         177,          55,         376.5,          12.0,            .0,,         167.3,         197.2,       1930.2,         543.8,       1057.7,         328.7
Arvin Police Dept,CA,12,      20390,         153,           2,           1,,          16,         134,         744,         323,         308,         113,         750.4,           9.8,           4.9,,          78.5,         657.2,       3648.8,       1584.1,       1510.5,         554.2
Atascadero Police Dept,CA,12,      28938,          97,           1,          12,,          24,          60,         544,         119,         400,          25,         335.2,           3.5,          41.5,,          82.9,         207.3,       1879.9,         411.2,       1382.3,          86.4
Atwater Police Dept,CA,12,      28906,         182,           1,           7,,          22,         152,       1323,         361,         804,         158,         629.6,           3.5,          24.2,,          76.1,         525.8,       4576.9,       1248.9,       2781.4,         546.6
Auburn Police Dept,CA,12,      13779,          49,           0,           2,,          13,          34,         302,          86,         190,          26,         355.6,            .0,          14.5,,          94.3,         246.8,       2191.7,         624.1,       1378.9,         188.7
Avenal,CA,12,      14712,          62,           0,           4,,           6,          52,         147,          63,          67,          17,         421.4,            .0,          27.2,,          40.8,         353.5,         999.2,         428.2,         455.4,         115.6
Azusa Police Dept,CA,12,      47754,         246,           2,           4,,          36,         204,       1098,         256,         671,         171,         515.1,           4.2,           8.4,,          75.4,         427.2,       2299.3,         536.1,       1405.1,         358.1
Bakersfield Police Dept,CA,12,     361859,       1857,          24,          43,,         708,       1082,      16814,       4605,       9272,       2937,         513.2,           6.6,          11.9,,         195.7,         299.0,       4646.6,       1272.6,       2562.3,         811.6
Baldwin Park Police Dept,CA,12,      76745,         220,           5,           6,,          74,         135,       1370,         280,         727,         363,         286.7,           6.5,           7.8,,          96.4,         175.9,       1785.1,         364.8,         947.3,         473.0
Banning Police Dept,CA,12,      30503,         129,           2,           9,,          26,          92,         808,         355,         323,         130,         422.9,           6.6,          29.5,,          85.2,         301.6,       2648.9,       1163.8,       1058.9,         426.2
Barstow Police Dept,CA,12,      23144,         229,           3,          13,,          45,         168,         785,         329,         354,         102,         989.5,          13.0,          56.2,,         194.4,         725.9,       3391.8,       1421.5,       1529.6,         440.7
Beaumont Police Dept,CA,12,      40208,          85,           1,           8,,          20,          56,       1298,         180,       1015,         103,         211.4,           2.5,          19.9,,          49.7,         139.3,       3228.2,         447.7,       2524.4,         256.2
Bell Police Dept,CA,12,      35928,         208,           0,          10,,          81,         117,         535,         124,         334,          77,         578.9,            .0,          27.8,,         225.5,         325.7,       1489.1,         345.1,         929.6,         214.3
Bell Gardens Police Dept,CA,12,      42980,         120,           1,           3,,          56,          60,         763,         141,         351,         271,         279.2,           2.3,           7.0,,         130.3,         139.6,       1775.2,         328.1,         816.7,         630.5
Bellflower,CA,12,      77594,         279,           1,           9,,         105,         164,       1882,         427,         968,         487,         359.6,           1.3,          11.6,,         135.3,         211.4,       2425.4,         550.3,       1247.5,         627.6
Belmont Police Dept,CA,12,      26697,          27,           1,           5,,           4,          17,         437,         129,         269,          39,         101.1,           3.7,          18.7,,          15.0,          63.7,       1636.9,         483.2,       1007.6,         146.1
Benicia Police Dept,CA,12,      27558,          30,           0,           4,,           8,          18,         383,         134,         199,          50,         108.9,            .0,          14.5,,          29.0,          65.3,       1389.8,         486.2,         722.1,         181.4
Berkeley Police Dept,CA,12,     116217,         562,           4,          26,,         410,         122,       5377,       1055,       3658,         664,         483.6,           3.4,          22.4,,         352.8,         105.0,       4626.7,         907.8,       3147.6,         571.3
Beverly Hills Police Dept,CA,12,      34780,          77,           0,           5,,          29,          43,       1179,         239,         899,          41,         221.4,            .0,          14.4,,          83.4,         123.6,       3389.9,         687.2,       2584.8,         117.9
Blythe Police Dept,CA,12,      20629,          65,           1,           4,,          20,          40,         693,         223,         435,          35,         315.1,           4.8,          19.4,,          97.0,         193.9,       3359.3,       1081.0,       2108.7,         169.7
Brawley Police Dept,CA,12,      25753,          61,           0,           5,,           7,          49,       1211,         301,         854,          56,         236.9,            .0,          19.4,,          27.2,         190.3,       4702.4,       1168.8,       3316.1,         217.5
Brea Police Dept,CA,12,      40600,          64,           2,           4,,          22,          36,       1210,         205,         939,          66,         157.6,           4.9,           9.9,,          54.2,          88.7,       2980.3,         504.9,       2312.8,         162.6
Brentwood Police Dept,CA,12,      54301,          89,           0,          11,,          20,          58,       1214,         253,         848,         113,         163.9,            .0,          20.3,,          36.8,         106.8,       2235.7,         465.9,       1561.7,         208.1
Buena Park Police Dept,CA,12,      82632,         221,           2,          13,,          80,         126,       2165,         361,       1435,         369,         267.5,           2.4,          15.7,,          96.8,         152.5,       2620.1,         436.9,       1736.6,         446.6
Burbank Police Dept,CA,12,     104727,         171,           0,          13,,          51,         107,       2430,         285,       1926,         219,         163.3,            .0,          12.4,,          48.7,         102.2,       2320.3,         272.1,       1839.1,         209.1
Burlingame Police Dept,CA,12,      29936,          37,           0,           2,,          12,          23,         665,         148,         472,          45,         123.6,            .0,           6.7,,          40.1,          76.8,       2221.4,         494.4,       1576.7,         150.3
Butte County Sheriff Department,CA,12,,          96,           7,          10,,          17,          62,       1210,         515,         686,           9,,,,,,,,,,
Calabasas,CA,12,      24114,          20,           0,           3,,           6,          11,         313,          84,         222,           7,          82.9,            .0,          12.4,,          24.9,          45.6,       1298.0,         348.3,         920.6,          29.0
Calaveras County Sheriff Department,CA,12,,         121,           5,          20,,          10,          86,         843,         332,         504,           7,,,,,,,,,,
Calexico Police Dept,CA,12,      39527,          92,           0,           0,,          27,          65,       1474,         362,         837,         275,         232.8,            .0,            .0,,          68.3,         164.4,       3729.1,         915.8,       2117.5,         695.7
California City Police Dept,CA,12,      13339,          87,           0,           4,,           9,          74,         683,         425,         239,          19,         652.2,            .0,          30.0,,          67.5,         554.8,       5120.3,       3186.1,       1791.7,         142.4
Camarillo,CA,12,      66173,          73,           0,           6,,          25,          42,       1130,         205,         849,          76,         110.3,            .0,           9.1,,          37.8,          63.5,       1707.6,         309.8,       1283.0,         114.9
Campbell Police Dept,CA,12,      40549,         106,           2,          12,,          24,          68,       1563,         341,       1016,         206,         261.4,           4.9,          29.6,,          59.2,         167.7,       3854.6,         841.0,       2505.6,         508.0
Canyon Lake,CA,12,      10944,           3,           0,           0,,           0,           3,         157,          34,         109,          14,          27.4,            .0,            .0,,            .0,          27.4,       1434.6,         310.7,         996.0,         127.9
Capitola Police Dept,CA,12,      10038,          38,           1,           3,,           4,          30,         600,          41,         532,          27,         378.6,          10.0,          29.9,,          39.8,         298.9,       5977.3,         408.4,       5299.9,         269.0
Carslbad Police Dept,CA,12,     110505,         221,           1,          23,,          44,         153,       2085,         525,       1436,         124,         200.0,            .9,          20.8,,          39.8,         138.5,       1886.8,         475.1,       1299.5,         112.2
Carpinteria,CA,12,      13287,          21,           0,           3,,           4,          14,         261,          50,         191,          20,         158.0,            .0,          22.6,,          30.1,         105.4,       1964.3,         376.3,       1437.5,         150.5
Carson,CA,12,      93415,         400,           3,          15,,         148,         234,       2251,         514,       1248,         489,         428.2,           3.2,          16.1,,         158.4,         250.5,       2409.7,         550.2,       1336.0,         523.5
Cathedral City Police Dept,CA,12,      53064,         149,           4,           9,,          44,          92,       1118,         399,         417,         302,         280.8,           7.5,          17.0,,          82.9,         173.4,       2106.9,         751.9,         785.8,         569.1
Central Marin,CA,12,      34105,          41,           0,           5,,          12,          24,         695,         276,         358,          61,         120.2,            .0,          14.7,,          35.2,          70.4,       2037.8,         809.3,       1049.7,         178.9
Ceres Dept Of Public Safety,CA,12,      45876,         133,           1,           9,,          41,          82,       1720,         355,       1026,         339,         289.9,           2.2,          19.6,,          89.4,         178.7,       3749.2,         773.8,       2236.5,         738.9
Cerritos,CA,12,      49816,          82,           0,           4,,          42,          36,       1802,         374,       1210,         218,         164.6,            .0,           8.0,,          84.3,          72.3,       3617.3,         750.8,       2428.9,         437.6
Chico Police Dept,CA,12,      88226,         299,           2,          41,,          95,         161,       2572,         622,       1568,         382,         338.9,           2.3,          46.5,,         107.7,         182.5,       2915.2,         705.0,       1777.3,         433.0
