Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Chino Police Dept,CA,12,      80704,         258,           4,           7,,          47,         200,       2044,         518,       1249,         277,         319.7,           5.0,           8.7,,          58.2,         247.8,       2532.7,         641.9,       1547.6,         343.2
Chino Hills,CA,12,      76943,          63,           0,           5,,          11,          47,       1017,         315,         615,          87,          81.9,            .0,           6.5,,          14.3,          61.1,       1321.8,         409.4,         799.3,         113.1
Chowchilla Police Dept,CA,12,      17696,          81,           0,           3,,           7,          71,         452,         196,         213,          43,         457.7,            .0,          17.0,,          39.6,         401.2,       2554.2,       1107.6,       1203.7,         243.0
Chula Vista Police Dept,CA,12,     255073,         595,           2,          29,,         248,         316,       5284,         971,       3532,         781,         233.3,            .8,          11.4,,          97.2,         123.9,       2071.6,         380.7,       1384.7,         306.2
Claremont Police Dept,CA,12,      35623,          37,           0,           2,,          23,          12,         894,         280,         546,          68,         103.9,            .0,           5.6,,          64.6,          33.7,       2509.6,         786.0,       1532.7,         190.9
Clayton Police Dept,CA,12,      11439,           2,           0,           0,,           2,           0,         101,          37,          54,          10,          17.5,            .0,            .0,,          17.5,            .0,         882.9,         323.5,         472.1,          87.4
Clearlake Police Dept,CA,12,      14951,         125,           2,          13,,          21,          89,         690,         309,         292,          89,         836.1,          13.4,          87.0,,         140.5,         595.3,       4615.1,       2066.8,       1953.0,         595.3
Clovis Police Dept,CA,12,      99483,         181,           0,          23,,          47,         111,       3404,         879,       2220,         305,         181.9,            .0,          23.1,,          47.2,         111.6,       3421.7,         883.6,       2231.5,         306.6
Coachella Police Dept,CA,12,      43330,         118,           2,           2,,          56,          58,       1372,         358,         634,         380,         272.3,           4.6,           4.6,,         129.2,         133.9,       3166.4,         826.2,       1463.2,         877.0
Coalinga Police Dept,CA,12,      16398,         131,           0,           7,,           6,         118,         485,         169,         282,          34,         798.9,            .0,          42.7,,          36.6,         719.6,       2957.7,       1030.6,       1719.7,         207.3
Colton Police Dept,CA,12,      53403,         161,           2,           6,,          69,          84,       1936,         532,       1018,         386,         301.5,           3.7,          11.2,,         129.2,         157.3,       3625.3,         996.2,       1906.3,         722.8
Commerce,CA,12,      12995,          83,           1,           2,,          39,          41,         893,         101,         515,         277,         638.7,           7.7,          15.4,,         300.1,         315.5,       6871.9,         777.2,       3963.1,       2131.6
Compton Police Dept,CA,12,      97907,       1242,          36,          26,,         360,         820,       2538,         579,       1160,         799,       1268.6,          36.8,          26.6,,         367.7,         837.5,       2592.3,         591.4,       1184.8,         816.1
Concord Police Dept,CA,12,     125464,         407,           1,          12,,         159,         235,       4357,         825,       2764,         768,         324.4,            .8,           9.6,,         126.7,         187.3,       3472.7,         657.6,       2203.0,         612.1
Contra Costa County Sheriff Department,CA,12,,         429,           6,          29,,         118,         276,       2138,         838,       1288,          12,,,,,,,,,,
Corcoran Police Dept,CA,12,      23290,          71,           0,           2,,          10,          59,         364,         103,         215,          46,         304.9,            .0,           8.6,,          42.9,         253.3,       1562.9,         442.2,         923.1,         197.5
Corona Police Dept,CA,12,     160159,         162,           9,          14,,          65,          74,       3439,         644,       2305,         490,         101.1,           5.6,           8.7,,          40.6,          46.2,       2147.2,         402.1,       1439.2,         305.9
Coronado Police Dept,CA,12,      23183,          11,           0,           2,,           4,           5,         555,          57,         470,          28,          47.4,            .0,           8.6,,          17.3,          21.6,       2394.0,         245.9,       2027.3,         120.8
Costa Mesa Police Dept,CA,12,     112538,         252,           1,          46,,          94,         111,       3556,         512,       2748,         296,         223.9,            .9,          40.9,,          83.5,          98.6,       3159.8,         455.0,       2441.8,         263.0
Covina Police Dept,CA,12,      48524,         138,           0,           9,,          52,          77,       1344,         369,         818,         157,         284.4,            .0,          18.5,,         107.2,         158.7,       2769.8,         760.4,       1685.8,         323.6
Cudahy,CA,12,      24091,         111,           0,           4,,          38,          69,         320,          64,         174,          82,         460.8,            .0,          16.6,,         157.7,         286.4,       1328.3,         265.7,         722.3,         340.4
Culver City Police Dept,CA,12,      39452,         161,           0,           7,,          88,          66,       1616,         174,       1327,         115,         408.1,            .0,          17.7,,         223.1,         167.3,       4096.1,         441.0,       3363.6,         291.5
Cupertino,CA,12,      60440,          41,           0,           3,,          23,          15,         812,         179,         584,          49,          67.8,            .0,           5.0,,          38.1,          24.8,       1343.5,         296.2,         966.2,          81.1
Cypress Police Dept,CA,12,      49067,          50,           0,           4,,          17,          29,         934,         148,         689,          97,         101.9,            .0,           8.2,,          34.6,          59.1,       1903.5,         301.6,       1404.2,         197.7
Daly City Police Dept,CA,12,     104536,         223,           0,          15,,          90,         118,       1833,         352,       1190,         291,         213.3,            .0,          14.3,,          86.1,         112.9,       1753.5,         336.7,       1138.4,         278.4
Dana Point,CA,12,      34262,          70,           0,           9,,          10,          51,         586,         133,         429,          24,         204.3,            .0,          26.3,,          29.2,         148.9,       1710.3,         388.2,       1252.1,          70.0
Danville,CA,12,      43411,          17,           0,           3,,           2,          12,         413,          94,         291,          28,          39.2,            .0,           6.9,,           4.6,          27.6,         951.4,         216.5,         670.3,          64.5
Davis Police Dept,CA,12,      66126,         103,           3,          31,,          20,          49,       1777,         723,         967,          87,         155.8,           4.5,          46.9,,          30.2,          74.1,       2687.3,       1093.4,       1462.4,         131.6
Delano Police Dept,CA,12,      52210,         309,           6,           4,,          81,         218,       1949,         713,         793,         443,         591.8,          11.5,           7.7,,         155.1,         417.5,       3733.0,       1365.6,       1518.9,         848.5
Desert Hot Springs,CA,12,      27936,         277,           2,           3,,          63,         209,       1103,         487,         475,         141,         991.6,           7.2,          10.7,,         225.5,         748.1,       3948.3,       1743.3,       1700.3,         504.7
Diamond Bar,CA,12,      56619,          62,           0,           3,,          25,          34,         886,         344,         476,          66,         109.5,            .0,           5.3,,          44.2,          60.1,       1564.8,         607.6,         840.7,         116.6
Dinuba Police Dept,CA,12,      23440,         214,           0,           6,,          20,         188,         871,         333,         446,          92,         913.0,            .0,          25.6,,          85.3,         802.0,       3715.9,       1420.6,       1902.7,         392.5
Dixon Police Dept,CA,12,      18743,          35,           0,           4,,           1,          30,         411,         103,         263,          45,         186.7,            .0,          21.3,,           5.3,         160.1,       2192.8,         549.5,       1403.2,         240.1
Downey Police Dept,CA,12,     113222,         326,           7,          12,,         171,         136,       3292,         573,       1873,         846,         287.9,           6.2,          10.6,,         151.0,         120.1,       2907.6,         506.1,       1654.3,         747.2
Duarte,CA,12,      21759,          41,           1,           1,,          19,          20,         366,          97,         214,          55,         188.4,           4.6,           4.6,,          87.3,          91.9,       1682.1,         445.8,         983.5,         252.8
Dublin,CA,12,      49789,          70,           0,           1,,          15,          54,         739,         168,         494,          77,         140.6,            .0,           2.0,,          30.1,         108.5,       1484.3,         337.4,         992.2,         154.7
East Palo Alto Police Dept,CA,12,      29086,         347,           8,          11,,          80,         248,         597,         236,         231,         130,       1193.0,          27.5,          37.8,,         275.0,         852.6,       2052.5,         811.4,         794.2,         447.0
Eastvale,CA,12,      54882,          63,           1,           9,,          18,          35,       1005,         203,         667,         135,         114.8,           1.8,          16.4,,          32.8,          63.8,       1831.2,         369.9,       1215.3,         246.0
El Cajon Police Dept,CA,12,     102012,         386,           2,          29,,         143,         212,       2730,         493,       1775,         462,         378.4,           2.0,          28.4,,         140.2,         207.8,       2676.2,         483.3,       1740.0,         452.9
El Centro Police Dept,CA,12,      43249,         144,           1,           7,,          54,          82,       2039,         416,       1499,         124,         333.0,           2.3,          16.2,,         124.9,         189.6,       4714.6,         961.9,       3466.0,         286.7
El Cerrito Police Dept,CA,12,      24184,          92,           0,           0,,          63,          29,       1120,         280,         717,         123,         380.4,            .0,            .0,,         260.5,         119.9,       4631.2,       1157.8,       2964.8,         508.6
El Dorado County Sheriff Department,CA,12,,         210,           2,          26,,          16,         166,       2066,         747,       1269,          50,,,,,,,,,,
El Monte Police Dept,CA,12,     115591,         340,           3,          14,,         155,         168,       2182,         568,       1038,         576,         294.1,           2.6,          12.1,,         134.1,         145.3,       1887.7,         491.4,         898.0,         498.3
El Segundo Police Dept,CA,12,      16911,          37,           0,           0,,          19,          18,         538,         143,         343,          52,         218.8,            .0,            .0,,         112.4,         106.4,       3181.4,         845.6,       2028.3,         307.5
Emeryville Police Dept,CA,12,      10415,         132,           0,           2,,          70,          60,       1651,         135,       1362,         154,       1267.4,            .0,          19.2,,         672.1,         576.1,      15852.1,       1296.2,      13077.3,       1478.6
Encinitas,CA,12,      61433,         127,           1,           9,,          21,          96,       1081,         258,         752,          71,         206.7,           1.6,          14.7,,          34.2,         156.3,       1759.6,         420.0,       1224.1,         115.6
Escondido Police Dept,CA,12,     148650,         596,           6,          39,,         201,         350,       3965,         717,       2476,         772,         400.9,           4.0,          26.2,,         135.2,         235.5,       2667.3,         482.3,       1665.7,         519.3
Eureka Police Dept,CA,12,      26881,         192,           2,          17,,          73,         100,       2087,         399,       1506,         182,         714.3,           7.4,          63.2,,         271.6,         372.0,       7763.8,       1484.3,       5602.5,         677.1
Exeter Police Dept,CA,12,      10506,          20,           1,           3,,           4,          12,         249,          72,         158,          19,         190.4,           9.5,          28.6,,          38.1,         114.2,       2370.1,         685.3,       1503.9,         180.8
Fairfield Police Dept,CA,12,     108425,         498,           3,          13,,         165,         317,       3534,         735,       2170,         629,         459.3,           2.8,          12.0,,         152.2,         292.4,       3259.4,         677.9,       2001.4,         580.1
Farmersville Police Dept,CA,12,      10786,          47,           0,           1,,          15,          31,         258,         104,         119,          35,         435.8,            .0,           9.3,,         139.1,         287.4,       2392.0,         964.2,       1103.3,         324.5
Fillmore,CA,12,      15206,          26,           0,           1,,           4,          21,         152,          26,         106,          20,         171.0,            .0,           6.6,,          26.3,         138.1,         999.6,         171.0,         697.1,         131.5
Folsom Police Dept,CA,12,      73782,          98,           0,           7,,          35,          56,       1336,         240,       1024,          72,         132.8,            .0,           9.5,,          47.4,          75.9,       1810.7,         325.3,       1387.9,          97.6
Fontana Police Dept,CA,12,     203427,         725,          10,          33,,         202,         480,       4088,         872,       2217,         999,         356.4,           4.9,          16.2,,          99.3,         236.0,       2009.6,         428.7,       1089.8,         491.1
Fortuna Police Dept,CA,12,      11803,          41,           0,           2,,           4,          35,         429,          85,         321,          23,         347.4,            .0,          16.9,,          33.9,         296.5,       3634.7,         720.2,       2719.6,         194.9
Foster City Police Dept,CA,12,      32652,          15,           0,           2,,           3,          10,         305,          69,         216,          20,          45.9,            .0,           6.1,,           9.2,          30.6,         934.1,         211.3,         661.5,          61.3
Fountain Valley Police Dept,CA,12,      56805,          92,           0,           9,,          20,          63,       1170,         262,         835,          73,         162.0,            .0,          15.8,,          35.2,         110.9,       2059.7,         461.2,       1469.9,         128.5
Fremont Police Dept,CA,12,     224475,         273,           1,          25,,         136,         111,       4097,         944,       2484,         669,         121.6,            .4,          11.1,,          60.6,          49.4,       1825.1,         420.5,       1106.6,         298.0
Fresno County Sheriff Department,CA,12,,         849,          11,           8,,          93,         737,       4212,       1358,       2133,         721,,,,,,,,,,
Fresno Police Dept,CA,12,     508876,       2552,          40,          53,,         903,       1556,      22584,       5223,      13304,       4057,         501.5,           7.9,          10.4,,         177.4,         305.8,       4438.0,       1026.4,       2614.4,         797.2
Fullerton Police Dept,CA,12,     139676,         372,           0,          29,,         107,         236,       3859,         627,       2873,         359,         266.3,            .0,          20.8,,          76.6,         169.0,       2762.8,         448.9,       2056.9,         257.0
Galt Police Dept,CA,12,      24553,          63,           2,           7,,          15,          39,         517,         190,         263,          64,         256.6,           8.1,          28.5,,          61.1,         158.8,       2105.6,         773.8,       1071.2,         260.7
Garden Grove Police Dept,CA,12,     175469,         455,           5,          16,,         137,         297,       3397,         637,       2221,         539,         259.3,           2.8,           9.1,,          78.1,         169.3,       1936.0,         363.0,       1265.8,         307.2
Gardena Police Dept,CA,12,      59703,         245,           0,          16,,         144,          85,       1331,         298,         726,         307,         410.4,            .0,          26.8,,         241.2,         142.4,       2229.4,         499.1,       1216.0,         514.2
Gilroy Dept Of Public Safety,CA,12,      51240,         180,           3,          15,,          51,         111,       1740,         222,       1283,         235,         351.3,           5.9,          29.3,,          99.5,         216.6,       3395.8,         433.3,       2503.9,         458.6
Glendale Police Dept,CA,12,     195366,         181,           1,           8,,          75,          97,       3198,         563,       2384,         251,          92.6,            .5,           4.1,,          38.4,          49.7,       1636.9,         288.2,       1220.3,         128.5
Glendora Police Dept,CA,12,      50893,          65,           2,           7,,          30,          26,       1340,         173,       1096,          71,         127.7,           3.9,          13.8,,          58.9,          51.1,       2633.0,         339.9,       2153.5,         139.5
Goleta,CA,12,      30401,          43,           0,           7,,           9,          27,         451,         137,         301,          13,         141.4,            .0,          23.0,,          29.6,          88.8,       1483.5,         450.6,         990.1,          42.8
Grand Terrace,CA,12,      12364,          38,           0,           1,,          16,          21,         279,          77,         143,          59,         307.3,            .0,           8.1,,         129.4,         169.8,       2256.6,         622.8,       1156.6,         477.2
Grass Valley Police Dept,CA,12,      12792,         115,           0,           2,,          10,         103,         751,         131,         551,          69,         899.0,            .0,          15.6,,          78.2,         805.2,       5870.9,       1024.1,       4307.4,         539.4
Greenfield Police Dept,CA,12,      16922,          89,           1,           1,,          31,          56,         259,          62,         141,          56,         525.9,           5.9,           5.9,,         183.2,         330.9,       1530.6,         366.4,         833.2,         330.9
Grover Beach Police Dept,CA,12,      13398,          39,           0,           7,,           7,          25,         303,          94,         174,          35,         291.1,            .0,          52.2,,          52.2,         186.6,       2261.5,         701.6,       1298.7,         261.2
Hanford Police Dept,CA,12,      54425,         299,           2,          10,,          63,         224,       1939,         345,       1401,         193,         549.4,           3.7,          18.4,,         115.8,         411.6,       3562.7,         633.9,       2574.2,         354.6
Hawaiian Gardens Police Dept,CA,12,      14437,          56,           1,           2,,          21,          32,         205,          47,         106,          52,         387.9,           6.9,          13.9,,         145.5,         221.7,       1420.0,         325.6,         734.2,         360.2
Hawthorne Police Dept,CA,12,      86132,         580,           6,          32,,         299,         243,       2242,         523,       1333,         386,         673.4,           7.0,          37.2,,         347.1,         282.1,       2603.0,         607.2,       1547.6,         448.1
Hayward Police Dept,CA,12,     150955,         589,           5,          33,,         333,         218,       4844,       1051,       2122,       1671,         390.2,           3.3,          21.9,,         220.6,         144.4,       3208.9,         696.2,       1405.7,       1107.0
Healdsburg Police Dept,CA,12,      11483,          25,           0,           3,,           2,          20,         236,          47,         181,           8,         217.7,            .0,          26.1,,          17.4,         174.2,       2055.2,         409.3,       1576.2,          69.7
Hemet Police Dept,CA,12,      81698,         447,           4,          24,,         173,         246,       3963,       1110,       2294,         559,         547.1,           4.9,          29.4,,         211.8,         301.1,       4850.8,       1358.7,       2807.9,         684.2
Hercules Police Dept,CA,12,      24831,          22,           0,           2,,           6,          14,         274,          83,         143,          48,          88.6,            .0,           8.1,,          24.2,          56.4,       1103.5,         334.3,         575.9,         193.3
Hermosa Beach Police Dept,CA,12,      19858,          27,           0,           4,,           6,          17,         549,         119,         395,          35,         136.0,            .0,          20.1,,          30.2,          85.6,       2764.6,         599.3,       1989.1,         176.3
Hesperia,CA,12,      92621,         371,           1,          17,,          83,         270,       2330,         869,       1052,         409,         400.6,           1.1,          18.4,,          89.6,         291.5,       2515.6,         938.2,       1135.8,         441.6
Highland,CA,12,      54462,         191,           3,           8,,          56,         124,       1362,         480,         527,         355,         350.7,           5.5,          14.7,,         102.8,         227.7,       2500.8,         881.3,         967.6,         651.8
Hillsborough Police Dept,CA,12,      11245,           0,           0,           0,,           0,           0,          57,          32,          23,           2,            .0,            .0,            .0,,            .0,            .0,         506.9,         284.6,         204.5,          17.8
Hollister Police Dept,CA,12,      36414,         195,           4,          14,,          26,         151,         570,         185,         312,          73,         535.5,          11.0,          38.4,,          71.4,         414.7,       1565.3,         508.0,         856.8,         200.5
Humboldt County Sheriff Department,CA,12,,         153,           3,          18,,          32,         100,       1149,         596,         520,          33,,,,,,,,,,
Huntington Beach Police Dept,CA,12,     195842,         362,           2,          31,,         100,         229,       4934,         793,       3796,         345,         184.8,           1.0,          15.8,,          51.1,         116.9,       2519.4,         404.9,       1938.3,         176.2
Huntington Park Police Dept,CA,12,      58852,         359,           1,           6,,         197,         155,       1812,         220,       1003,         589,         610.0,           1.7,          10.2,,         334.7,         263.4,       3078.9,         373.8,       1704.3,       1000.8
Imperial County Sheriff Department,CA,12,,         199,           1,          14,,          11,         173,         714,         260,         433,          21,,,,,,,,,,
