GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Total Population Change [1]"
natinc4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Natural Increase"
births4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Vital Events - Births"
deaths4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Vital Events - Deaths"
netmig4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Net Migration - Total"
intlmig4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Net Migration - International [2]"
dommig4201072011,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2011 - Net Migration - Domestic"
popchg20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Total Population Change [1]"
natinc20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Natural Increase"
births20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Vital Events - Births"
deaths20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Vital Events - Deaths"
netmig20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Net Migration - Total"
intlmig20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Net Migration - International [2]"
dommig20102011,"Annual Estimates of the Components of Population Change - July 1, 2010 to July 1, 2011 - Net Migration - Domestic"
